stature,footlength,tibialheight
1560,246,430
1665,249,475
1711,265,458
1660,265,463
1572,247,429
1707,270,474
1644,241,443
1671,255,464
1521,234,419
1590,245,421
1707,270,470
1668,260,464
1654,234,451
1666,263,451
1599,238,450
1673,249,448
1647,257,434
1678,256,470
1679,253,473
1615,235,424
1517,233,385
1674,250,461
1623,231,441
1668,251,454
1644,258,470
1579,242,443
1446,223,349
1620,236,441
1684,251,465
1619,258,458
1592,246,434
1655,252,433
1723,269,466
1677,245,465
1654,246,441
1634,238,450
1683,251,495
1552,234,418
1617,237,458
1588,249,425
1641,248,440
1685,259,466
1656,247,449
1603,255,435
1608,250,443
1664,250,471
1619,244,468
1620,252,462
1720,257,484
1582,257,446
1720,244,469
1720,256,460
1701,269,480
1627,238,416
1536,229,402
1546,233,411
1654,243,456
1605,247,435
1630,242,449
1612,230,435
1757,272,519
1670,258,458
1632,220,431
1635,250,427
1682,257,440
1661,250,419
1596,243,421
1596,235,415
1665,262,439
1617,248,432
1555,244,434
1578,226,398
1581,247,398
1698,257,439
1554,230,400
1756,253,472
1566,238,401
1651,259,459
1585,240,409
1657,254,446
1719,265,453
1822,267,489
1649,253,444
1687,253,440
1698,254,475
1530,238,415
1581,243,413
1609,242,456
1644,259,434
1548,238,424
1606,239,408
1642,239,421
1622,237,404
1669,246,431
1745,268,483
1495,215,378
1493,232,399
1641,252,448
1607,247,424
1560,226,406
1625,246,420
1670,230,424
1616,239,412
1582,229,421
1730,261,474
1501,224,394
1515,225,380
1576,257,415
1628,247,446
1586,231,401
1737,275,466
1576,235,426
1626,249,440
1604,230,430
1673,250,441
1642,234,432
1538,236,399
1574,237,426
1637,239,426
1620,247,418
1733,268,480
1526,255,399
1732,258,470
1624,245,428
1507,222,381
1560,229,411
1640,263,452
1675,257,446
1526,235,396
1623,241,425
1584,234,409
1671,259,444
1552,228,402
1633,242,423
1530,225,399
1606,243,431
1617,250,451
1645,247,420
1681,263,466
1655,260,435
1626,244,440
1635,238,450
1572,241,419
1608,250,425
1662,247,431
1582,237,401
1701,256,476
1602,223,404
1549,243,408
1561,234,414
1677,250,479
1594,243,419
1628,243,420
1549,230,383
1559,240,390
1619,253,408
1690,242,449
1698,248,424
1705,256,443
1625,242,423
1666,252,449
1559,217,391
1595,236,419
1634,234,435
1643,252,452
1667,236,444
1661,263,446
1560,243,424
1610,262,428
1610,235,423
1682,260,449
1604,237,423
1540,228,400
1638,234,433
1656,250,421
1597,237,425
1749,277,509
1661,255,437
1526,223,406
1583,236,420
1533,242,406
1575,261,428
1776,263,474
1713,257,461
1653,259,423
1516,227,399
1658,260,457
1617,240,426
1687,273,472
1603,239,455
1539,237,394
1603,238,423
1620,236,423
1617,253,422
1600,245,429
1572,247,436
1632,242,419
1690,246,442
1682,250,450
1657,254,441
1672,246,448
1621,226,424
1623,240,412
1633,246,437
1526,240,406
1570,230,417
1616,248,452
1690,254,461
1637,237,417
1718,263,475
1588,233,421
1520,228,388
1618,261,451
1631,261,418
1642,245,453
1719,273,468
1715,279,484
1653,246,454
1590,232,411
1751,274,473
1583,248,440
1627,253,434
1586,242,428
1675,239,435
1606,242,409
1680,251,458
1773,274,489
1680,258,464
1645,248,445
1558,244,412
1665,247,432
1601,240,442
1658,242,432
1623,242,428
1661,255,424
1563,243,413
1630,248,424
1528,225,395
1653,242,431
1512,217,412
1629,247,422
1675,249,454
1498,219,365
1538,238,413
1567,239,406
1590,232,436
1573,234,415
1595,247,416
1610,254,441
1565,226,411
1523,227,377
1570,242,410
1556,228,416
1599,237,418
1611,243,431
1681,249,434
1585,246,428
1614,248,436
1674,268,457
1653,247,476
1593,234,414
1592,252,426
1617,251,413
1589,229,427
1597,245,437
1698,256,441
1619,245,413
1663,246,423
1606,249,426
1609,229,422
1696,253,444
1723,249,456
1748,276,479
1695,253,459
1648,229,432
1579,233,404
1587,244,433
1604,248,441
1603,239,437
1712,244,462
1628,250,434
1520,232,400
1640,241,439
1616,247,429
1684,254,465
1649,255,431
1677,259,457
1653,242,441
1638,239,436
1646,240,437
1619,239,413
1530,233,404
1603,247,447
1680,259,455
1602,257,406
1447,210,347
1627,257,441
1594,229,420
1688,253,455
1547,232,396
1621,251,426
1625,245,429
1597,223,428
1602,253,434
1614,234,435
1743,244,456
1603,237,411
1576,240,399
1619,243,430
1754,277,481
1709,266,464
1789,264,502
1587,233,415
1687,254,446
1665,249,466
1573,266,433
1654,251,423
1582,236,412
1575,225,402
1600,239,434
1584,229,423
1535,233,386
1593,241,429
1583,251,402
1608,248,401
1663,239,437
1609,239,423
1513,229,399
1704,264,470
1708,249,448
1506,222,401
1583,232,405
1731,252,446
1669,256,459
1640,244,435
1613,244,413
1640,248,443
1581,253,431
1664,260,452
1562,238,420
1722,265,472
1564,224,399
1589,246,414
1789,258,496
1608,242,412
1595,227,428
1590,242,436
1575,234,381
1539,233,407
1654,253,446
1616,240,439
1646,260,452
1548,255,422
1617,243,418
1527,235,393
1653,242,438
1606,239,427
1700,265,476
1672,243,457
1728,268,470
1677,259,471
1790,269,485
1643,248,432
1584,236,429
1583,238,435
1640,245,449
1562,235,416
1650,265,453
1656,246,422
1624,252,428
1631,247,426
1715,254,468
1607,238,417
1600,226,414
1571,233,398
1603,238,422
1599,235,415
1602,227,420
1642,249,462
1715,248,444
1634,244,405
1657,253,443
1626,241,438
1536,237,412
1698,238,460
1652,253,419
1611,236,406
1764,257,474
1586,230,405
1592,234,414
1782,269,475
1708,268,463
1650,249,432
1612,242,426
1660,246,429
1629,253,435
1630,245,401
1743,254,453
1688,260,438
1580,247,428
1610,219,418
1556,228,399
1585,230,414
1685,238,430
1592,233,401
1698,238,454
1648,237,438
1575,244,414
1602,240,417
1669,268,439
1637,246,431
1690,258,457
1664,227,423
1710,257,460
1596,251,433
1656,258,437
1586,239,417
1653,245,434
1661,233,422
1495,233,381
1633,239,429
1652,229,433
1596,227,421
1715,254,449
1724,274,461
1741,263,457
1707,267,456
1684,250,434
1586,246,420
1611,247,417
1658,237,453
1673,251,436
1770,271,470
1574,235,394
1715,277,498
1525,234,383
1650,250,429
1537,221,391
1568,232,412
1569,250,399
1711,269,442
1639,244,433
1638,245,432
1756,251,469
1618,254,441
1745,265,480
1569,217,383
1668,252,445
1619,249,415
1657,253,444
1628,243,424
1660,254,468
1683,237,430
1672,244,457
1623,234,440
1672,249,439
1619,235,422
1558,235,393
1649,244,447
1730,263,461
1527,245,379
1670,231,445
1583,234,424
1643,238,441
1717,252,466
1623,244,441
1630,230,433
1710,264,453
1730,257,449
1725,249,463
1680,247,470
1682,256,458
1680,272,427
1829,283,505
1675,265,445
1727,254,452
1615,247,422
1497,227,390
1613,229,404
1771,264,476
1588,258,413
1736,267,493
1664,249,436
1584,247,396
1712,274,490
1658,263,457
1646,249,462
1723,258,459
1578,227,415
1671,254,449
1580,233,426
1584,231,417
1670,246,446
1585,249,430
1638,249,427
1589,248,432
1659,245,437
1550,244,406
1730,266,455
1500,227,387
1615,265,432
1645,269,433
1727,269,487
1667,257,465
1519,222,385
1700,252,460
1628,253,410
1600,244,425
1747,284,496
1583,246,411
1662,251,452
1697,258,465
1732,269,463
1647,268,425
1589,249,432
1545,257,408
1659,257,462
1522,241,387
1651,255,447
1767,259,476
1608,246,419
1605,256,449
1734,248,452
1661,249,429
1589,235,441
1741,260,458
1670,251,440
1680,253,457
1736,259,437
1682,252,465
1714,260,449
1546,242,392
1634,243,433
1568,242,420
1536,222,402
1584,242,424
1646,254,448
1664,244,437
1658,244,430
1738,262,445
1745,266,481
1595,255,419
1625,242,434
1623,267,437
1518,234,387
1525,222,387
1557,238,420
1730,262,467
1601,244,423
1597,244,426
1743,254,454
1683,235,428
1752,257,480
1618,223,424
1620,240,430
1649,243,432
1709,263,466
1587,230,408
1632,240,422
1527,227,391
1660,236,421
1632,255,439
1742,259,453
1709,261,456
1619,233,401
1675,259,443
1634,244,424
1679,241,452
1614,255,433
1684,244,448
1597,247,422
1610,234,433
1688,267,467
1725,273,480
1609,239,441
1585,237,417
1562,233,429
1547,229,391
1611,234,419
1740,248,488
1555,226,408
1650,254,448
1583,234,422
1647,253,442
1532,236,420
1619,249,453
1704,238,474
1689,238,453
1657,257,448
1647,253,478
1670,258,457
1496,238,405
1717,269,474
1531,227,400
1666,255,455
1574,236,405
1663,274,441
1617,251,456
1585,239,443
1647,254,458
1643,245,449
1677,255,471
1670,243,461
1651,254,442
1525,234,398
1715,255,473
1602,252,424
1570,237,427
1662,245,468
1561,237,429
1543,236,416
1562,244,431
1627,247,434
1678,247,440
1608,243,438
1672,271,457
1661,234,456
1574,235,415
1670,247,474
1585,228,402
1574,235,404
1617,237,450
1592,246,441
1705,250,469
1620,241,451
1579,234,442
1661,248,458
1595,246,436
1646,235,429
1522,229,404
1760,253,495
1505,229,394
1708,260,486
1659,252,477
1613,244,450
1666,253,468
1565,243,430
1578,245,449
1480,238,413
1636,223,453
1608,258,456
1552,225,449
1559,259,443
1595,247,445
1674,265,466
1661,256,456
1550,247,465
1597,242,443
1543,226,419
1636,257,469
1563,242,409
1506,226,414
1689,257,472
1600,258,432
1827,251,519
1594,229,467
1768,272,502
1658,243,474
1629,250,430
1672,250,454
1783,282,510
1571,243,435
1525,243,428
1595,254,452
1708,248,474
1818,283,500
1688,252,477
1568,234,422
1555,229,421
1645,247,434
1631,260,475
1563,235,429
1566,234,429
1585,244,452
1518,235,411
1590,252,463
1462,220,398
1599,219,421
1665,230,469
1712,265,482
1634,247,463
1628,264,458
1625,254,472
1718,256,469
1604,249,440
1748,258,495
1650,263,473
1679,250,446
1635,256,449
1673,249,465
1643,237,444
1691,258,475
1672,253,473
1638,239,440
1676,259,455
1655,257,459
1675,258,465
1508,233,408
1679,244,454
1692,253,456
1631,242,430
1533,235,412
1563,233,432
1655,247,458
1496,212,380
1777,278,500
1546,237,424
1685,253,493
1608,243,440
1632,255,468
1690,258,474
1655,241,456
1574,243,430
1659,257,460
1541,224,410
1675,257,474
1652,242,434
1593,244,428
1565,239,434
1530,233,415
1600,247,437
1615,254,446
1557,241,438
1679,274,460
1662,248,452
1696,250,453
1657,254,476
1495,217,395
1644,245,454
1652,249,464
1566,232,440
1653,259,465
1604,233,423
1594,241,426
1627,254,450
1729,267,481
1602,239,427
1615,250,444
1645,233,441
1623,238,441
1595,240,431
1480,228,390
1696,264,479
1680,258,475
1590,243,415
1529,229,390
1551,232,412
1709,274,475
1589,235,421
1616,249,449
1643,229,438
1587,244,437
1691,270,442
1558,242,415
1611,243,436
1724,259,472
1623,275,438
1686,256,434
1587,225,404
1546,227,384
1682,258,475
1519,238,407
1631,244,448
1525,233,426
1657,252,449
1653,258,455
1447,224,367
1615,253,456
1732,263,464
1733,258,476
1760,259,480
1669,256,441
1602,249,461
1611,224,428
1607,252,453
1582,253,427
1636,237,443
1702,264,454
1591,248,440
1724,238,452
1657,255,469
1591,245,422
1630,235,436
1730,239,467
1695,253,459
1598,252,456
1606,237,436
1644,249,445
1575,246,419
1642,259,451
1615,252,458
1570,253,416
1607,247,420
1626,242,451
1729,257,471
1501,232,420
1657,251,456
1614,253,438
1660,247,466
1675,250,451
1638,254,464
1584,238,439
1680,249,445
1667,245,446
1758,270,468
1688,262,467
1636,235,427
1607,249,437
1594,244,427
1694,253,449
1606,250,444
1687,268,466
1574,247,441
1603,237,434
1559,243,422
1659,250,439
1614,243,428
1630,269,442
1435,217,352
1672,271,440
1708,254,477
1676,254,437
1609,240,441
1590,234,413
1629,234,432
1598,249,447
1560,235,443
1688,259,456
1745,246,489
1673,257,467
1662,257,433
1576,227,404
1720,253,462
1701,260,465
1620,240,427
1670,256,458
1630,242,439
1636,249,435
1714,276,475
1702,267,471
1590,233,427
1643,241,434
1769,272,483
1549,216,420
1533,240,412
1592,235,423
1609,237,427
1569,224,415
1586,241,410
1574,243,422
1617,244,420
1589,241,433
1679,258,485
1700,234,454
1623,250,425
1677,249,454
1598,241,432
1625,243,439
1685,261,477
1685,257,451
1623,237,448
1674,255,458
1653,247,437
1587,228,413
1595,228,432
1563,244,419
1674,261,466
1439,214,344
1718,254,465
1589,230,398
1645,249,433
1677,247,448
1552,224,406
1523,229,415
1612,246,435
1642,235,456
1732,251,459
1600,239,423
1409,198,345
1620,236,433
1746,264,494
1688,263,491
1606,238,410
1658,250,452
1590,235,410
1781,251,475
1690,256,447
1654,245,472
1583,237,403
1523,230,406
1685,264,441
1672,262,484
1641,259,467
1644,244,441
1597,241,443
1732,266,471
1529,225,395
1620,242,409
1643,247,437
1556,224,401
1630,254,456
1614,234,432
1464,223,374
1749,266,468
1618,233,416
1631,242,446
1704,261,447
1669,249,445
1586,225,434
1602,254,437
1620,243,428
1575,230,437
1513,228,397
1573,228,406
1649,249,445
1657,256,454
1538,237,407
1684,252,471
1550,242,422
1630,244,444
1693,256,496
1557,248,427
1627,240,411
1666,254,456
1599,242,437
1547,224,420
1636,241,447
1547,243,402
1629,241,441
1560,238,416
1751,268,483
1625,252,441
1573,254,414
1599,227,430
1547,230,390
1735,262,464
1670,253,453
1678,259,438
1604,249,408
1631,253,439
1684,255,467
1715,234,455
1635,252,434
1666,261,464
1705,272,480
1629,243,451
1718,252,455
1626,253,433
1616,258,451
1602,234,416
1667,252,452
1645,244,436
1670,264,470
1621,250,434
1721,272,470
1606,237,433
1567,239,416
1720,239,458
1639,249,425
1730,274,481
1682,253,462
1720,252,465
1783,278,495
1641,245,433
1568,237,393
1640,253,455
1556,238,423
1647,256,460
1630,244,431
1587,238,430
1627,252,430
1638,235,444
1644,248,451
1603,253,416
1713,256,468
1721,266,491
1573,217,393
1619,241,426
1524,222,403
1605,249,416
1617,245,427
1601,252,451
1703,262,491
1574,237,423
1596,247,436
1602,247,426
1599,240,433
1632,243,443
1660,245,434
1568,245,418
1639,252,453
1591,255,434
1628,251,427
1615,256,429
1680,263,475
1590,247,446
1563,237,421
1641,257,436
1710,252,463
1566,240,400
1573,253,441
1669,267,466
1607,244,429
1633,243,459
1699,260,464
1638,229,442
1634,255,453
1660,256,461
1604,253,434
1693,252,456
1595,241,436
1694,252,466
1626,247,437
1613,243,416
1614,253,427
1630,237,432
1716,260,463
1510,250,405
1639,255,443
1576,243,410
1677,268,455
1669,259,478
1592,247,425
1606,250,412
1597,254,421
1610,236,420
1811,279,507
1639,251,432
1635,244,435
1751,261,476
1626,247,432
1688,247,440
1588,223,417
1635,247,424
1624,247,441
1634,248,430
1749,283,495
1646,240,439
1600,247,420
1600,250,458
1517,237,411
1659,250,434
1718,252,463
1533,228,405
1592,236,409
1636,259,450
1648,258,442
1669,253,430
1655,245,452
1770,279,493
1752,274,493
1741,253,460
1608,234,416
1636,249,425
1555,240,411
1573,234,413
1623,248,410
1534,240,420
1543,238,401
1744,280,476
1623,252,431
1587,251,424
1563,239,409
1655,233,452
1612,253,431
1636,244,420
1709,255,459
1547,231,412
1657,232,432
1695,251,467
1720,270,495
1587,236,429
1676,264,471
1726,261,473
1616,248,409
1747,257,468
1705,263,476
1685,270,468
1594,240,423
1687,247,445
1700,268,478
1658,251,445
1562,240,415
1658,259,445
1688,234,434
1524,232,385
1611,250,447
1627,266,453
1614,249,426
1598,249,421
1643,247,448
1611,237,459
1520,217,400
1697,268,458
1640,260,453
1672,247,448
1662,267,466
1601,252,427
1580,225,428
1676,262,447
1536,242,398
1561,245,431
1475,232,392
1532,238,414
1646,249,456
1657,247,443
1648,242,441
1586,237,444
1609,243,426
1562,235,424
1507,234,399
1468,219,385
1636,247,426
1585,246,421
1607,233,416
1657,257,454
1606,241,449
1705,258,468
1605,248,437
1666,254,455
1635,253,457
1498,226,394
1619,232,445
1559,233,412
1639,252,441
1574,241,422
1530,233,410
1552,243,417
1572,239,413
1670,257,454
1574,239,408
1636,263,447
1575,240,408
1676,242,443
1705,258,465
1603,244,440
1593,244,417
1611,250,443
1673,260,449
1689,257,456
1529,228,398
1602,237,431
1764,268,469
1648,258,464
1587,244,433
1492,230,413
1567,237,409
1563,267,445
1663,247,449
1617,248,439
1683,252,476
1636,251,449
1628,254,445
1536,238,413
1530,238,397
1678,252,467
1682,262,451
1585,237,431
1588,239,441
1718,268,487
1655,244,437
1705,245,464
1608,239,430
1607,252,445
1490,229,394
1563,234,423
1677,248,465
1615,246,437
1570,257,430
1563,234,424
1627,251,450
1743,253,484
1635,256,443
1699,261,464
1503,237,402
1637,244,435
1544,248,423
1493,225,401
1645,243,440
1707,263,471
1611,237,437
1543,233,415
1604,231,431
1588,243,425
1543,237,412
1630,253,441
1674,256,442
1560,237,408
1620,253,440
1613,237,434
1541,231,421
1595,245,437
1600,244,432
1690,254,449
1612,238,433
1559,238,412
1678,259,457
1608,233,428
1559,233,406
1683,250,473
1586,249,429
1646,253,438
1656,262,441
1515,235,398
1754,257,481
1699,257,461
1573,239,428
1657,238,453
1655,255,452
1502,232,407
1653,257,422
1633,252,428
1585,229,435
1632,252,433
1616,253,429
1670,251,442
1632,229,431
1648,268,474
1576,259,442
1606,236,430
1652,251,447
1625,228,446
1598,236,425
1618,246,415
1674,256,439
1563,236,414
1728,258,469
1590,237,420
1636,247,437
1655,266,453
1707,252,444
1676,245,440
1633,257,430
1607,244,437
1618,247,415
1708,237,463
1735,255,449
1715,247,468
1570,232,418
1642,244,427
1788,263,471
1600,257,434
1675,244,430
1634,242,429
1576,227,400
1599,248,430
1598,241,431
1548,227,406
1607,258,437
1686,257,444
1640,244,424
1563,228,411
1591,234,422
1678,251,472
1670,263,455
1529,228,396
1616,242,435
1620,244,447
1510,225,397
1626,247,417
1600,249,426
1679,276,454
1600,252,416
1618,239,437
1629,231,416
1651,249,439
1596,251,444
1654,249,459
1776,267,491
1546,237,408
1676,254,450
1585,246,414
1594,237,415
1629,242,419
1581,247,422
1614,233,427
1559,227,403
1697,261,471
1674,254,437
1692,256,456
1615,255,419
1762,260,500
1573,244,421
1674,257,437
1531,222,413
1505,224,378
1700,263,463
1539,236,400
1620,252,414
1712,242,445
1554,237,413
1598,227,423
1612,264,431
1707,264,477
1611,237,429
1599,230,411
1569,246,432
1663,229,420
1666,248,428
1659,247,425
1543,234,407
1571,227,425
1618,241,411
1610,237,414
1512,233,409
1555,255,412
1729,258,459
1593,229,410
1609,243,430
1648,260,447
1631,242,445
1712,252,455
1541,238,410
1663,253,462
1614,237,437
1598,238,427
1617,244,424
1658,237,428
1642,256,428
1698,248,463
1648,248,451
1756,270,478
1651,252,444
1634,228,439
1709,262,469
1686,255,460
1645,244,426
1565,244,430
1537,227,415
1511,219,388
1649,249,453
1458,222,380
1759,270,487
1558,231,396
1688,261,449
1581,247,429
1583,249,415
1643,257,440
1752,256,464
1600,229,428
1618,264,439
1710,262,473
1585,238,418
1595,249,437
1614,244,432
1663,243,429
1617,263,445
1596,244,445
1602,256,446
1694,262,460
1510,230,404
1534,234,397
1634,251,439
1679,242,426
1618,233,427
1658,246,433
1643,243,465
1652,263,461
1615,254,429
1674,267,448
1527,244,418
1518,230,405
1653,260,449
1659,262,446
1570,230,405
1570,246,422
1653,256,439
1712,257,459
1519,239,395
1702,272,471
1627,248,431
1516,237,412
1583,238,436
1647,253,471
1594,236,433
1617,263,459
1674,259,471
1605,252,442
1649,266,450
1603,256,428
1620,244,435
1584,240,428
1579,242,435
1608,239,422
1656,235,438
1639,240,441
1630,243,426
1615,247,438
1584,232,392
1664,253,466
1545,220,394
1688,245,440
1673,247,448
1647,252,430
1637,252,430
1787,265,490
1503,232,412
1562,241,420
1558,253,396
1576,247,446
1628,233,440
1748,259,461
1572,245,424
1743,265,453
1561,241,433
1623,240,422
1649,252,455
1661,265,463
1668,238,460
1722,252,462
1674,253,450
1663,250,454
1543,238,401
1561,239,409
1587,249,427
1495,237,384
1645,241,440
1653,252,437
1685,251,456
1569,243,417
1656,265,439
1672,260,439
1622,248,453
1664,258,441
1636,244,434
1666,246,464
1558,243,406
1674,265,455
1534,249,421
1630,248,463
1671,238,459
1789,265,482
1553,245,437
1673,252,434
1598,241,429
1798,275,518
1641,254,449
1718,248,451
1568,246,435
1652,244,462
1676,258,460
1595,258,423
1697,260,457
1703,259,474
1567,244,426
1554,230,417
1645,257,447
1625,257,436
1560,240,440
1501,235,416
1617,247,430
1660,250,437
1635,251,447
1621,265,438
1596,233,403
1649,241,419
1590,239,410
1630,256,433
1505,240,400
1590,238,425
1613,255,442
1620,242,432
1687,238,447
1613,250,433
1648,240,448
1820,274,511
1613,255,442
1719,261,462
1543,226,408
1674,259,447
1662,273,472
1612,236,437
1605,241,437
1560,245,401
1664,248,458
1662,256,442
1620,234,441
1567,226,406
1689,270,446
1576,241,441
1596,246,413
1684,250,446
1702,265,452
1745,243,469
1599,241,441
1628,245,421
1651,256,429
1592,250,410
1587,226,421
1628,252,423
1627,246,433
1617,236,432
1582,237,442
1537,238,430
1629,260,445
1640,242,436
1675,254,471
1592,255,441
1633,242,454
1733,265,484
1610,240,440
1566,219,439
1639,249,453
1580,236,426
1557,240,413
1683,253,443
1597,238,426
1598,245,431
1613,239,426
1649,257,446
1672,241,463
1713,265,468
1641,253,435
1612,230,434
1596,250,428
1442,228,376
1555,250,420
1497,222,399
1612,244,426
1690,243,445
1634,239,431
1509,233,392
1582,239,441
1465,214,379
1545,241,413
1475,228,384
1633,246,461
1631,241,448
1626,252,437
1533,240,402
1553,223,411
1752,274,484
1618,247,436
1634,247,431
1689,257,438
1534,228,416
1629,252,449
1628,237,424
1603,251,413
1547,238,401
1585,237,423
1638,243,443
1754,267,483
1623,244,404
1614,247,440
1676,260,436
1560,242,424
1637,244,446
1542,215,403
1536,228,404
1613,252,438
1595,243,435
1659,245,447
1564,238,407
1686,262,468
1678,240,438
1573,233,422
1589,235,418
1621,248,435
1679,254,461
1598,236,426
1713,256,474
1550,225,404
1583,240,448
1540,233,413
1541,234,388
1622,243,418
1793,258,494
1713,264,479
1603,240,421
1711,265,476
1641,243,455
1494,239,413
1672,248,459
1616,240,425
1585,242,447
1612,248,452
1663,246,457
1656,248,439
1598,245,440
1545,238,435
1634,253,431
1704,252,479
1664,252,458
1522,228,413
1646,243,444
1557,242,415
1625,236,425
1671,261,470
1535,240,421
1591,243,415
1567,225,408
1540,213,424
1573,238,419
1637,268,442
1604,236,418
1740,259,478
1563,242,428
1773,254,490
1672,242,464
1564,229,411
1600,243,426
1586,246,422
1566,252,416
1683,259,459
1613,245,420
1572,238,420
1584,240,412
1706,253,470
1620,231,433
1640,250,469
1711,267,484
1641,243,455
1567,220,410
1629,250,454
1479,225,380
1663,259,461
1749,276,527
1592,231,433
1591,234,422
1710,274,482
1684,265,460
1625,263,464
1666,242,447
1576,229,420
1685,251,453
1629,248,423
1637,251,453
1597,233,415
1676,257,455
1672,262,449
1707,237,461
1649,247,438
1615,238,426
1629,253,454
1615,225,431
1537,245,415
1663,245,441
1582,234,422
1499,234,400
1771,268,484
1545,225,403
1603,249,422
1580,245,426
1608,233,436
1561,216,407
1642,237,434
1600,255,419
1591,255,436
1697,250,463
1691,244,446
1563,241,413
1598,250,417
1631,251,433
1648,245,450
1496,240,404
1522,238,413
1769,266,505
1761,286,507
1618,245,438
1612,238,437
1653,236,443
1598,247,442
1770,265,472
1566,219,413
1668,246,450
1614,265,456
1673,256,448
1588,228,430
1534,250,428
1490,235,409
1611,241,420
1599,252,438
1645,247,438
1571,221,415
1657,255,461
1641,246,429
1710,257,451
1674,250,453
1561,230,414
1664,242,458
1743,255,470
1681,256,458
1498,222,407
1595,236,431
1771,253,480
1585,250,443
1819,276,507
1683,244,440
1686,248,449
1703,259,440
1707,269,464
1678,260,475
1646,250,446
1676,259,469
1703,268,485
1609,236,450
1636,261,448
1625,249,445
1615,243,430
1603,261,428
1641,246,461
1697,249,466
1571,241,416
1548,249,432
1633,244,443
1667,251,440
1584,255,424
1642,245,437
1736,265,493
1671,253,450
1595,232,433
1716,262,458
1574,234,417
1610,252,435
1643,254,418
1697,269,440
1501,226,375
1632,257,450
1654,265,448
1571,226,398
1596,223,441
1589,245,417
1650,250,437
1611,242,430
1632,253,440
1729,266,466
1533,230,436
1611,245,433
1650,257,448
1473,229,398
1700,263,462
1692,250,465
1611,250,445
1734,249,476
1692,275,477
1647,272,454
1599,242,431
1614,261,437
1549,246,433
1634,233,433
1760,252,483
1683,244,449
1618,239,440
1565,223,422
1592,232,431
1636,240,439
1538,239,402
1648,234,446
1645,245,443
1623,256,433
1611,233,435
1602,226,437
1670,256,445
1643,245,435
1628,244,435
1575,240,423
1613,240,429
1598,236,439
1610,240,425
1597,238,439
1590,250,425
1688,252,494
1502,234,418
1593,252,435
1607,241,435
1625,248,425
1525,221,392
1563,245,430
1734,243,476
1734,256,478
1728,257,477
1661,233,458
1703,251,458
1702,250,463
1772,264,474
1626,247,447
1661,255,445
1549,238,431
1634,245,456
1661,240,429
1564,245,427
1664,242,446
1553,228,390
1700,259,473
1542,235,415
1743,273,468
1623,248,436
1590,255,448
1604,243,427
1627,254,453
1718,255,467
1705,279,467
1561,226,398
1661,261,472
1620,245,449
1660,258,489
1697,252,476
1699,250,455
1740,262,465
1701,258,467
1707,261,476
1560,242,426
1483,223,387
1587,253,439
1579,243,448
1659,241,425
1684,257,468
1593,249,425
1589,256,441
1683,243,451
1704,250,454
1736,251,471
1633,263,459
1724,273,495
1487,222,390
1560,237,415
1561,246,430
1618,229,435
1604,235,427
1658,255,454
1658,248,423
1591,245,427
1638,239,438
1751,259,478
1587,233,419
1540,235,405
1576,229,414
1737,267,464
1573,247,426
1622,238,437
1588,224,427
1548,232,406
1662,253,448
1718,266,485
1519,236,390
1573,233,432
1566,243,411
1529,232,404
1585,229,404
1611,247,425
1610,245,423
1541,228,410
1766,271,504
1626,244,438
1644,239,437
1679,260,460
1743,246,477
1658,250,437
1610,251,426
1675,250,449
1637,246,434
1628,243,435
1645,251,431
1595,231,412
1731,273,451
1567,241,432
1628,238,428
1688,228,452
1706,248,453
1543,252,405
1665,246,461
1690,247,452
1471,234,391
1616,240,432
1753,248,487
1626,241,428
1698,274,445
1545,233,390
1759,252,461
1732,254,487
1587,240,426
1605,240,426
1530,234,401
1598,231,418
1524,231,422
1683,249,445
1577,255,435
1583,243,426
1582,226,412
1569,236,413
1651,257,460
1463,226,394
1659,253,443
1596,239,432
1600,224,414
1557,239,434
1565,230,436
1525,244,413
1613,245,445
1674,248,448
1614,241,431
1558,235,428
1774,272,495
1633,240,446
1611,241,415
1768,265,510
1578,233,433
1619,235,440
1681,256,440
1613,237,425
1575,235,402
1648,252,436
1590,235,423
1609,247,421
1625,258,446
1676,249,463
1623,239,418
1612,240,450
1720,261,460
1567,251,428
1770,265,483
1668,259,462
1588,250,440
1616,238,442
1593,258,436
1572,229,419
1674,266,471
1652,241,444
1664,238,444
1691,255,468
1657,238,440
1704,261,484
1654,252,446
1578,227,411
1645,242,425
1631,262,449
1561,249,420
1516,225,404
1749,255,478
1715,255,461
1600,237,418
1683,245,447
1557,233,420
1548,245,427
1714,249,465
1649,254,447
1528,237,418
1596,240,425
1658,262,472
1701,252,492
1683,266,468
1634,243,426
1695,265,467
1548,244,412
1587,252,435
1549,225,407
1606,240,434
1508,226,404
1733,269,478
1560,237,423
1739,260,479
1629,260,450
1609,255,446
1740,266,483
1678,258,455
1545,236,423
1809,273,497
1764,274,488
1606,233,420
1567,233,419
1594,231,422
1587,239,419
1573,235,413
1624,245,419
1635,247,429
1580,238,434
1691,247,459
1656,242,439
1615,243,437
1749,263,479
1561,231,422
1674,249,454
1721,258,488
1704,245,467
1636,253,432
1583,235,426
1604,232,402
1533,222,417
1594,247,425
1719,253,453
1687,259,446
1613,245,422
1644,249,449
1616,226,419
1641,239,436
